Name	Count
Rubén Blades	 1
Rufus Sewell	 1
Russell Buchanan	 1
Russell Crowe	 1
Ryan Cutrona	 1
Ryan Devlin	 1
Ryan Reynolds	 1
Róbert Bánlaki	 1
Sab Shimono	 1
Sabine Karsenti	 1
Sabrina Aldridge	 1
Sacha Dhawan	 1
Sally Anne Newton	 1
Salma Hayek	 2
Sam Derence	 1
Sam Elliott	 1
Samantha Mathis	 1
Sandahl Bergman	 1
Sandra Bernhard	 1
Sandra Bullock	 3
Sandy Helberg	 1
Santiago Segura	 1
Sara Kestelman	 1
Sarah Clarke	 1
Sarah M. Miles	 1
Scott Bakula	 1
Scott Glenn	 1
Scott Holmes	 1
Scott Terra	 1
Scottie Thompson	 1
Sean Connery	 1
Sean Kenin	 1
Sean O'Bryan	 1
Serge Cockburn	 1
Seth Green	 1
Seychelle Gabriel	 1
Shalim Ortiz	 1
Sharan Lea	 1
Sharon Stone	 1
Shaun Austin-Olsen	 1
Shaun Toub	 1
Shelly Desai	 1
Sheree J. Wilson	 1
Sherman Hemsley	 1
Sherri Stone Butler	 1
Shirley Knight	 1
Shohreh Aghdashloo	 1
Sidney Baxley	 1
Simon Callow	 1
Simon Chandler	 1
Simona Williams	 1
Sinbad	 1
